no;block_unique;block;block.pair;cz;population;isoline;treatment;temperature;repr.type;sum;propN_start;propN_F1;fitness;anc_pop
126;IV.II_E12_Iz6;IV.II;IV;II;E12;Iz6;ev24;24C;FOG;480;0.735955056;0.610416667;-0.12553839;IV.II_ancFOG6_Iz6
127;IV.II_E12_Iz6;IV.II;IV;II;E12;Iz6;ev24;24C;FOG;712;0.735955056;0.619382022;-0.116573034;IV.II_ancFOG6_Iz6
128;IV.II_E12_Iz6;IV.II;IV;II;E12;Iz6;ev24;24C;FOG;588;0.735955056;0.646258503;-0.089696553;IV.II_ancFOG6_Iz6
129;II.II_E13_Iz8;II.II;II;II;E13;Iz8;ev24;24C;FOG;1262;0.435582822;0.270206022;-0.1653768;II.II_ancFOG8_Iz8
130;II.I_E13_Iz8;II.I;II;I;E13;Iz8;ev24;24C;FOG;740;0.336696091;0.27027027;-0.066425821;II.I_ancFOG8_Iz8
131;II.I_E13_Iz8;II.I;II;I;E13;Iz8;ev24;24C;FOG;843;0.336696091;0.298932384;-0.037763706;II.I_ancFOG8_Iz8
132;II.II_E13_Iz8;II.II;II;II;E13;Iz8;ev24;24C;FOG;1188;0.435582822;0.307239057;-0.128343765;II.II_ancFOG8_Iz8
133;II.II_E13_Iz8;II.II;II;II;E13;Iz8;ev24;24C;FOG;702;0.435582822;0.323361823;-0.112220999;II.II_ancFOG8_Iz8
134;II.I_E13_Iz8;II.I;II;I;E13;Iz8;ev24;24C;FOG;716;0.336696091;0.332402235;-0.004293856;II.I_ancFOG8_Iz8
135;II.I_E13_Iz8;II.I;II;I;E13;Iz8;ev24;24C;FOG;961;0.336696091;0.335067638;-0.001628453;II.I_ancFOG8_Iz8
136;II.II_E13_Iz8;II.II;II;II;E13;Iz8;ev24;24C;FOG;1087;0.435582822;0.346826127;-0.088756695;II.II_ancFOG8_Iz8
137;II.I_E14_Iz8;II.I;II;I;E14;Iz8;ev24;24C;FOG;690;0.484924623;0.265217391;-0.219707232;II.I_ancFOG8_Iz8
138;II.I_E14_Iz8;II.I;II;I;E14;Iz8;ev24;24C;FOG;579;0.484924623;0.31433506;-0.170589563;II.I_ancFOG8_Iz8
139;II.I_E14_Iz8;II.I;II;I;E14;Iz8;ev24;24C;FOG;1159;0.484924623;0.33649698;-0.148427643;II.I_ancFOG8_Iz8
140;II.I_E14_Iz8;II.I;II;I;E14;Iz8;ev24;24C;FOG;731;0.484924623;0.34746922;-0.137455403;II.I_ancFOG8_Iz8
141;II.II_E14_Iz8;II.II;II;II;E14;Iz8;ev24;24C;FOG;835;0.782608696;0.432335329;-0.350273366;II.II_ancFOG8_Iz8
142;II.II_E14_Iz8;II.II;II;II;E14;Iz8;ev24;24C;FOG;1173;0.782608696;0.630008525;-0.152600171;II.II_ancFOG8_Iz8
143;II.II_E14_Iz8;II.II;II;II;E14;Iz8;ev24;24C;FOG;631;0.782608696;0.649762282;-0.132846414;II.II_ancFOG8_Iz8
144;II.II_E14_Iz8;II.II;II;II;E14;Iz8;ev24;24C;FOG;953;0.782608696;0.652675761;-0.129932935;II.II_ancFOG8_Iz8
145;II.I_E17_Iz8;II.I;II;I;E17;Iz8;ev24;24C;FOG;637;0.565909091;0.394034537;-0.171874554;II.I_ancFOG8_Iz8
146;II.I_E17_Iz8;II.I;II;I;E17;Iz8;ev24;24C;FOG;688;0.565909091;0.396802326;-0.169106765;II.I_ancFOG8_Iz8
147;II.I_E17_Iz8;II.I;II;I;E17;Iz8;ev24;24C;FOG;1154;0.565909091;0.409878683;-0.156030408;II.I_ancFOG8_Iz8
148;II.I_E17_Iz8;II.I;II;I;E17;Iz8;ev24;24C;FOG;815;0.565909091;0.46993865;-0.095970441;II.I_ancFOG8_Iz8
149;II.II_E17_Iz8;II.II;II;II;E17;Iz8;ev24;24C;FOG;582;0.739299611;0.596219931;-0.14307968;II.II_ancFOG8_Iz8
150;II.II_E17_Iz8;II.II;II;II;E17;Iz8;ev24;24C;FOG;1129;0.739299611;0.596988485;-0.142311126;II.II_ancFOG8_Iz8
151;II.II_E17_Iz8;II.II;II;II;E17;Iz8;ev24;24C;FOG;1469;0.739299611;0.640571818;-0.098727793;II.II_ancFOG8_Iz8
152;II.II_E17_Iz8;II.II;II;II;E17;Iz8;ev24;24C;FOG;279;0.739299611;0.659498208;-0.079801403;II.II_ancFOG8_Iz8
153;III.II_E34_Iz9;III.II;III;II;E34;Iz9;ev24;24C;FOG;799;0.494047619;0.326658323;-0.167389296;III.II_ancFOG9_Iz9
154;III.II_E34_Iz9;III.II;III;II;E34;Iz9;ev24;24C;FOG;830;0.494047619;0.340963855;-0.153083764;III.II_ancFOG9_Iz9
155;III.II_E34_Iz9;III.II;III;II;E34;Iz9;ev24;24C;FOG;535;0.494047619;0.364485981;-0.129561638;III.II_ancFOG9_Iz9
156;III.II_E34_Iz9;III.II;III;II;E34;Iz9;ev24;24C;FOG;504;0.494047619;0.388888889;-0.10515873;III.II_ancFOG9_Iz9
157;III.I_E34_Iz9;III.I;III;I;E34;Iz9;ev24;24C;FOG;95;0.412997904;0.515789474;0.10279157;III.I_ancFOG9_Iz9
158;III.I_E34_Iz9;III.I;III;I;E34;Iz9;ev24;24C;FOG;264;0.412997904;0.568181818;0.155183915;III.I_ancFOG9_Iz9
159;III.I_E34_Iz9;III.I;III;I;E34;Iz9;ev24;24C;FOG;791;0.412997904;0.568900126;0.155902223;III.I_ancFOG9_Iz9
160;III.I_E34_Iz9;III.I;III;I;E34;Iz9;ev24;24C;FOG;439;0.412997904;0.571753986;0.158756083;III.I_ancFOG9_Iz9
